source_ip,destination_ip,source_port,destination_port,protocol,timestamp,flow_duration,total_fwd_packets,total_backward_packets,total_length_of_fwd_packets,total_length_of_bwd_packets,fwd_packet_length_max,fwd_packet_length_min,fwd_packet_length_mean,fwd_packet_length_std,bwd_packet_length_max,bwd_packet_length_min,bwd_packet_length_mean,bwd_packet_length_std,flow_bytes/s,flow_packets/s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_total,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_total,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_length,bwd_header_length,fwd_packets/s,bwd_packets/s,min_packet_length,max_packet_length,packet_length_mean,packet_length_std,packet_length_variance,fin_flag_count,syn_flag_count,rst_flag_count,psh_flag_count,ack_flag_count,urg_flag_count,cwe_flag_count,ece_flag_count,down/up_ratio,average_packet_size,avg_fwd_segment_size,avg_bwd_segment_size,fwd_avg_bytes/bulk,fwd_avg_packets/bulk,fwd_avg_bulk_rate,bwd_avg_bytes/bulk,bwd_avg_packets/bulk,bwd_avg_bulk_rate,subflow_fwd_packets,subflow_fwd_bytes,subflow_bwd_packets,subflow_bwd_bytes,init_win_bytes_forward,init_win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min,label
3.230.75.172,192.168.1.101,443,65068,TCP,23:57.0,0,1,0,78,0,78,78,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,78,78,78,0,0,0,0,0,1,1,0,0,0,1,0,78,0,78,1,0,0,0,0,1,78,0,0,122,122,0,78,0,0,0,0,0,0,0,0,PortScan
3.230.75.172,192.168.1.101,443,65068,TCP,23:57.0,0,1,0,54,0,54,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,54,54,54,0,0,1,0,0,0,1,0,0,0,1,0,54,0,54,1,0,0,0,0,1,54,0,0,122,122,0,54,0,0,0,0,0,0,0,0,PortScan
192.168.1.101,3.230.75.172,65068,443,TCP,23:57.0,0,1,0,54,0,54,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,54,54,54,0,0,0,0,0,0,1,0,0,0,1,0,54,0,54,1,0,0,0,0,1,54,0,0,514,514,0,54,0,0,0,0,0,0,0,0,PortScan
192.168.1.101,216.58.199.226,52974,443,UDP,23:59.9,0,1,0,1292,0,1292,1292,1292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,1292,1292,1292,0,0,0,0,0,0,0,0,0,0,1,0,1292,0,1292,1,0,0,0,0,1,1292,0,0,514,514,0,1292,0,0,0,0,0,0,0,0,PortScan
192.168.1.101,216.58.199.226,52974,443,UDP,23:59.9,0.071,2,0,2584,0,1292,1292,1292,0,0,0,0,0,36394366.2,28169.01408,0.0355,0.0355,0.071,0,0.071,0.0355,0.0355,0.071,0,0,0,0,0,0,0,0,0,0,40,0,0,0,1292,1292,1292,0,0,0,0,0,0,0,0,0,0,2,0,1292,0,1292,2,18197.1831,0,0,0,2,2584,0,0,514,514,0,1292,0.0355,0.0355,0.071,0,0.0355,0.0355,0.071,0,PortScan
192.168.1.101,216.58.199.226,52974,443,UDP,23:59.9,0.112,3,0,2867,0,1292,283,955.6666667,475.6471615,0,0,0,0,25598214.29,26785.71429,0.037333333,0.029101355,0.071,0,0.112,0.037333333,0.029101355,0.071,0,0,0,0,0,0,0,0,0,0,60,0,0,0,283,1292,955.6666667,475.6471615,226240.2222,0,0,0,0,0,0,0,0,3,0,955.6666667,0,955.6666667,3,8532.738095,0,0,0,3,2867,0,0,514,514,0,283,0.037333333,0.029101355,0.071,0,0.037333333,0.029101355,0.071,0,PortScan
216.58.199.226,192.168.1.101,443,52974,UDP,23:59.9,0,1,0,65,0,65,65,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,65,65,65,0,0,0,0,0,0,0,0,0,0,1,0,65,0,65,1,0,0,0,0,1,65,0,0,514,514,0,65,0,0,0,0,0,0,0,0,PortScan
216.58.199.226,192.168.1.101,443,52974,UDP,24:00.0,19.115,2,0,192,0,127,65,96,31,0,0,0,0,10044.4677,104.6298718,9.5575,9.5575,19.115,0,19.115,9.5575,9.5575,19.115,0,0,0,0,0,0,0,0,0,0,40,0,0,0,65,127,96,31,961,0,0,0,0,0,0,0,0,2,0,96,0,96,2,5.022233848,0,0,0,2,192,0,0,514,514,0,65,9.5575,9.5575,19.115,0,9.5575,9.5575,19.115,0,PortScan
216.58.199.226,192.168.1.101,443,52974,UDP,24:00.0,19.261,3,0,255,0,127,63,85,29.70970661,0,0,0,0,13239.188,155.7551529,6.420333333,8.97668277,19.115,0,19.261,6.420333333,8.97668277,19.115,0,0,0,0,0,0,0,0,0,0,60,0,0,0,63,127,85,29.70970661,882.6666667,0,0,0,0,0,0,0,0,3,0,85,0,85,3,4.413062665,0,0,0,3,255,0,0,514,514,0,63,6.420333333,8.97668277,19.115,0,6.420333333,8.97668277,19.115,0,PortScan
192.168.1.101,216.58.199.226,52974,443,UDP,24:00.0,33.856,4,0,2944,0,1292,77,736,560.7499443,0,0,0,0,86956.52174,118.147448,8.464,14.59543656,33.744,0,33.856,8.464,14.59543656,33.744,0,0,0,0,0,0,0,0,0,0,80,0,0,0,77,1292,736,560.7499443,314440.5,0,0,0,0,0,0,0,0,4,0,736,0,736,4,21.73913043,0,0,0,4,2944,0,0,514,514,0,77,8.464,14.59543656,33.744,0,8.464,14.59543656,33.744,0,PortScan
216.58.199.226,192.168.1.101,443,52974,UDP,24:00.0,52.377,4,0,321,0,127,63,80.25,27.01272848,0,0,0,0,6128.644252,76.36939878,13.09425,13.93051026,33.116,0,52.377,13.09425,13.93051026,33.116,0,0,0,0,0,0,0,0,0,0,80,0,0,0,63,127,80.25,27.01272848,729.6875,0,0,0,0,0,0,0,0,4,0,80.25,0,80.25,4,1.532161063,0,0,0,4,321,0,0,514,514,0,63,13.09425,13.93051026,33.116,0,13.09425,13.93051026,33.116,0,PortScan
192.168.1.101,216.58.199.226,52974,443,UDP,24:00.0,67.125,5,0,3017,0,1292,73,603.4,567.3477241,0,0,0,0,44945.99628,74.48789572,13.425,16.3971796,33.744,0,67.125,13.425,16.3971796,33.744,0,0,0,0,0,0,0,0,0,0,100,0,0,0,73,1292,603.4,567.3477241,321883.44,0,0,0,0,0,0,0,0,5,0,603.4,0,603.4,5,8.989199255,0,0,0,5,3017,0,0,514,514,0,73,13.425,16.3971796,33.744,0,13.425,16.3971796,33.744,0,PortScan
216.58.199.226,192.168.1.101,443,52974,UDP,24:00.0,60.978,5,0,384,0,127,63,76.8,25.12687804,0,0,0,0,6297.353144,81.99678573,12.1956,12.58878788,33.116,0,60.978,12.1956,12.58878788,33.116,0,0,0,0,0,0,0,0,0,0,100,0,0,0,63,127,76.8,25.12687804,631.36,0,0,0,0,0,0,0,0,5,0,76.8,0,76.8,5,1.259470629,0,0,0,5,384,0,0,514,514,0,63,12.1956,12.58878788,33.116,0,12.1956,12.58878788,33.116,0,PortScan
192.168.1.101,216.58.199.226,52974,443,UDP,24:00.0,75.674,6,0,3092,0,1292,73,515.3333333,554.0892427,0,0,0,0,40859.47617,79.28746994,12.61233333,15.07840789,33.744,0,75.674,12.61233333,15.07840789,33.744,0,0,0,0,0,0,0,0,0,0,120,0,0,0,73,1292,515.3333333,554.0892427,307014.8889,0,0,0,0,0,0,0,0,6,0,515.3333333,0,515.3333333,6,6.809912696,0,0,0,6,3092,0,0,514,514,0,73,12.61233333,15.07840789,33.744,0,12.61233333,15.07840789,33.744,0,PortScan
192.168.1.101,192.168.1.1,62789,53,UDP,24:03.1,0,1,0,74,0,74,74,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,74,74,74,0,0,0,0,0,0,0,0,0,0,1,0,74,0,74,1,0,0,0,0,1,74,0,0,514,514,0,74,0,0,0,0,0,0,0,0,PortScan
192.168.1.101,192.168.1.1,60740,53,UDP,24:03.1,0,1,0,74,0,74,74,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,74,74,74,0,0,0,0,0,0,0,0,0,0,1,0,74,0,74,1,0,0,0,0,1,74,0,0,514,514,0,74,0,0,0,0,0,0,0,0,PortScan
192.168.1.101,192.168.1.1,55911,53,UDP,24:03.1,0,1,0,74,0,74,74,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,74,74,74,0,0,0,0,0,0,0,0,0,0,1,0,74,0,74,1,0,0,0,0,1,74,0,0,514,514,0,74,0,0,0,0,0,0,0,0,PortScan
192.168.1.1,192.168.1.101,53,62789,UDP,24:03.1,0,1,0,102,0,102,102,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,102,102,102,0,0,0,0,0,0,0,0,0,0,1,0,102,0,102,1,0,0,0,0,1,102,0,0,514,514,0,102,0,0,0,0,0,0,0,0,PortScan
